,Article (Metadata Included),Embedding,Daily Index (Before Agg),Daily Index (After Agg),Monthly Index
Size,841 MB,5.10 GB,"13,119 KB",240 KB,14 KB
Scale,1x,6.21x,0.0152x,0.0002786x,0.0000163x
