date,relu_score
1984-01-31,0.29889644379679386
1984-02-29,0.1324081832054883
1984-03-31,0.3288123192908527
1984-04-30,0.27988448780117314
1984-05-31,0.3054279109075217
1984-06-30,0.42383821680198464
1984-07-31,0.4144385390824211
1984-08-31,0.5763340808778447
1984-09-30,0.4387687665240435
1984-10-31,0.49738999108322646
1984-11-30,0.7688192040278644
1984-12-31,0.4385917976295165
1985-01-31,0.30420749900500976
1985-02-28,0.41688613955186543
1985-03-31,0.36599128708099044
1985-04-30,0.5848465491780738
1985-05-31,0.5888609884622409
1985-06-30,0.6071326215835701
1985-07-31,0.32877541757820483
1985-08-31,0.45771077959731
1985-09-30,0.7887255824922252
1985-10-31,0.4717248952135379
1985-11-30,0.5076690230557873
1985-12-31,0.34291864367673436
1986-01-31,0.33479822292714356
1986-02-28,0.7654808001986918
1986-03-31,0.290772225930727
1986-04-30,0.33840553624987446
1986-05-31,0.3434302802321265
1986-06-30,0.4625817046460878
1986-07-31,0.38856351629698443
1986-08-31,0.10012175093264097
1986-09-30,0.2735660965117191
1986-10-31,0.2641543685504123
1986-11-30,0.3371153466879494
1986-12-31,0.3100844422778959
1987-01-31,0.2624593715673943
1987-02-28,0.3083405197428867
1987-03-31,0.29663429673090325
1987-04-30,0.2287970782566559
1987-05-31,0.2830197008407923
1987-06-30,0.5426709172801324
1987-07-31,0.23691014930176
1987-08-31,0.25415340366002076
1987-09-30,0.265761474401069
1987-10-31,0.38581667205852743
1987-11-30,0.3889370625591353
1987-12-31,0.20413613580857182
1988-01-31,0.3325893451888782
1988-02-29,0.28051022270038356
1988-03-31,0.40548816228818185
1988-04-30,0.5595026197198315
1988-05-31,0.41289951929543584
1988-06-30,0.37665604356689025
1988-07-31,0.32535206496020297
1988-08-31,0.2845080225213085
1988-09-30,0.4551171973055368
1988-10-31,0.5723155114337818
1988-11-30,0.5930801411730318
1988-12-31,0.45666868868582833
1989-01-31,0.45439200647386646
1989-02-28,0.3806064613408536
1989-03-31,0.2402082469563991
1989-04-30,0.4337555934597166
1989-05-31,0.3512225473823682
1989-06-30,0.31043946744540235
1989-07-31,0.4384455853443558
1989-08-31,0.35698376550719624
1989-09-30,0.5028138867246476
1989-10-31,0.4619762762794163
1989-11-30,0.3779133766736445
1989-12-31,0.44308497466328
1990-01-31,0.4360028646219717
1990-02-28,0.29348781003280905
1990-03-31,0.5471513069317683
1990-04-30,0.4376987572154301
1990-05-31,0.34350409812149885
1990-06-30,0.20684497395414092
1990-07-31,0.3000089777930492
1990-08-31,0.2707670622904053
1990-09-30,0.4450927272990876
1990-10-31,0.41311987481672163
1990-11-30,0.5306922309856997
1990-12-31,0.29552953776697
1991-01-31,0.31450922185751423
1991-02-28,0.3542926971594561
1991-03-31,0.3459439433757682
1991-04-30,0.27554217011297155
1991-05-31,0.2010636681706386
1991-06-30,0.2753066465964964
1991-07-31,0.24990862185669682
1991-08-31,0.41297764872634385
1991-09-30,0.345105998144083
1991-10-31,0.4746521964802685
1991-11-30,0.32131322886945435
1991-12-31,0.6207394600982924
1992-01-31,0.4402414903300293
1992-02-29,0.4157436471326546
1992-03-31,0.41928001752432614
1992-04-30,0.512607895166912
1992-05-31,0.5286768284779987
1992-06-30,0.35774040783126715
1992-07-31,0.29785029129891566
1992-08-31,0.4497611956554175
1992-09-30,0.29063696196523614
1992-10-31,0.3326710216786741
1992-11-30,0.41003040595763407
1992-12-31,0.6264403416048667
1993-01-31,0.5759858303415208
1993-02-28,0.5097759085754391
1993-03-31,0.2558145600994103
1993-04-30,0.5235202529752335
1993-05-31,0.5857880027080201
1993-06-30,0.5735374152806142
1993-07-31,0.594556068679386
1993-08-31,0.46542938589966976
1993-09-30,0.4491656437028754
1993-10-31,0.6001444635835876
1993-11-30,0.6022935907007717
1993-12-31,0.4629653372413902
1994-01-31,0.7079069768444882
1994-02-28,1.0
1994-03-31,0.6670357574031326
1994-04-30,0.6831437624940087
1994-05-31,0.6847466270216888
1994-06-30,0.5085044767373734
1994-07-31,0.3652874204338134
1994-08-31,0.636968813312452
1994-09-30,0.7560205420208063
1994-10-31,0.48008364366257655
1994-11-30,0.5523028945236199
1994-12-31,0.5132831401925537
1995-01-31,0.35820408315243496
1995-02-28,0.3163665060111468
1995-03-31,0.5362861577946234
1995-04-30,0.6696215421198509
1995-05-31,0.4535009706202182
1995-06-30,0.8668617628782898
1995-07-31,0.4489166328278504
1995-08-31,0.4240667592473477
1995-09-30,0.6098422483951821
1995-10-31,0.6376526760939769
1995-11-30,0.4352301238814353
1995-12-31,0.4653051972100187
1996-01-31,0.4233493990397575
1996-02-29,0.7093124803324069
1996-03-31,0.4582718763274414
1996-04-30,0.41926307576033683
1996-05-31,0.3477855001314201
1996-06-30,0.8752929079460838
1996-07-31,0.5465927524054447
1996-08-31,0.5952258671376107
1996-09-30,0.5084784359709253
1996-10-31,0.6084091524031355
1996-11-30,0.6948407214296608
1996-12-31,0.7994539180623027
1997-01-31,0.679924035599515
1997-02-28,0.2816513996942517
1997-03-31,0.5458670236700495
1997-04-30,0.7032438383009594
1997-05-31,0.6041843450391637
1997-06-30,0.5876388489651213
1997-07-31,0.37294780296057156
1997-08-31,0.6194748315720141
1997-09-30,0.6280782909921092
1997-10-31,0.6251388008984045
1997-11-30,0.5533555741359286
1997-12-31,0.580302855077377
1998-01-31,0.4184322031604288
1998-02-28,0.5835761118455028
1998-03-31,0.49192440486972067
1998-04-30,0.6303955343538309
1998-05-31,0.29654609022281164
1998-06-30,0.9118304719877953
1998-07-31,0.5193830033083503
